"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"75","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",871.757771375337
"76","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",790.848724101676
"77","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",799.102883581372
"78","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",794.460181122641
"79","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",897.674883248935
"80","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",756.296217334354
"81","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",811.672172612173
"82","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",828.822198686981
"83","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",861.112253168054
"84","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",798.585496779207
"85","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",812.04590581228
"86","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",805.070208188814
"87","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",800.638709068255
"88","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",835.282277425727
"89","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",906.808510699915
"90","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",785.168224974224
"91","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",816.153696715116
"92","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",814.429701743221
"93","SpVgg Greuther Fürth","Germany 1. Bundesliga","GRF",8357,"Overall",738.141506820119
"94","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",797.507711432986
"95","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",845.89421018352
"96","FC Augsburg","Germany 1. Bundesliga","AUG",8406,"Overall",782.840569153069
"97","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",794.586246230472
"98","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",813.328052280134
"99","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",830.052198686981
"100","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",783.495674457316
"101","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",819.383233398898
"102","SpVgg Greuther Fürth","Germany 1. Bundesliga","GRF",8357,"Overall",744.12618535073
"103","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",800.577918173521
"104","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",833.800940176552
"105","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",791.79567412628
"106","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",796.48551362974
"107","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",786.21482191129
"108","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",912.124125673177
"109","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",752.08554810217
"110","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",868.702418799524
"111","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",812.975149918756
"112","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",837.484754874236
"113","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",817.685236228241
"114","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",814.449374835237
"115","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",833.019659202586
"116","FC Augsburg","Germany 1. Bundesliga","AUG",8406,"Overall",768.959055439467
"117","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",877.85252030105
"118","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",792.014133344725
"119","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",792.055560386154
"120","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",908.890706391205
"121","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",800.767580807055
"122","Real Zaragoza","Spain LIGA BBVA","ZAR",8394,"Overall",794.159830909831
"123","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",838.601769064269
"124","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",789.442994960163
"125","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",843.465267762283
"126","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",787.928057246406
"127","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",779.526840855497
