"","league_name","home_team_api_id","home_team_short_name","home_team_long_name","Overall","Potential","Stamina","Agility","Aggression"
"49","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",821.549446655495,874.905921188442,765.067825381141,715.793678166154,721.62394970037
"50","Germany 1. Bundesliga",10269,"STU","VfB Stuttgart",806.626548906919,849.32602083937,742.020705029138,681.636416900093,695.245007727229
"51","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",789.025781984197,819.717372533907,756.511368809611,701.505049349501,701.504464370755
"52","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",819.89418584555,861.431337296667,785.033454998348,774.590463012513,678.193872489534
"53","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",875.287846563307,914.823295831288,776.512827104931,770.176225730081,720.111603218582
"54","Germany 1. Bundesliga",8357,"GRF","SpVgg Greuther Fürth",750.573166364279,795.484183974593,768.675459658037,710.808801878239,662.433837685948
"55","Germany 1. Bundesliga",8194,"FDU","Fortuna Düsseldorf",757.649294338521,794.265698532894,780.962138971581,689.36669555859,733.911612793496
"56","Germany 1. Bundesliga",8178,"LEV","Bayer 04 Leverkusen",840.714151940102,890.751505769423,818.929823731654,724.192140568983,739.598033180482
"57","Germany 1. Bundesliga",8721,"WOL","VfL Wolfsburg",836.511120800525,872.5832686056,759.947379443056,743.097960854093,767.341844029684
"58","Germany 1. Bundesliga",9810,"EFR","Eintracht Frankfurt",803.056555133145,854.455601990179,780.854472334175,746.497576019201,690.70474603454
"59","Germany 1. Bundesliga",8226,"HOF","TSG 1899 Hoffenheim",795.831653125172,854.477156472983,755.012269202566,709.970277286884,718.65838934982
"60","Germany 1. Bundesliga",8358,"FRE","SC Freiburg",794.252063290601,835.936595206178,774.344761071747,753.48056025598,695.884767385572
"61","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",767.102645183057,817.869474337208,785.375135973723,697.568447939535,697.041817446843
"62","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",840.815416563347,875.815023641135,806.409339732569,735.033958415764,717.558742628093
"63","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",816.970548855331,871.36504550304,768.082399808129,732.853067048011,726.264655053793
"64","Germany 1. Bundesliga",9904,"HAN","Hannover 96",808.630501135501,841.045915315915,725.94993968994,741.864201079201,701.928921598922
"65","Germany 1. Bundesliga",9823,"BMU","FC Bayern Munich",856.71217682026,899.231086599061,759.272776099385,736.471861950705,775.399367153413
"66","Germany 1. Bundesliga",9810,"EFR","Eintracht Frankfurt",799.978656582421,849.086036772787,792.885269435624,745.675112251085,691.222861976569
"67","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",815.235135061292,864.357396343722,759.889318652362,721.257705081268,713.292816159997
"68","Germany 1. Bundesliga",8358,"FRE","SC Freiburg",787.438224974224,831.431549178884,753.036888901841,732.585058083551,688.002194207556
"69","Germany 1. Bundesliga",8357,"GRF","SpVgg Greuther Fürth",750.531349168394,824.822969445113,743.787036413246,734.774056333975,652.835197565299
"70","Germany 1. Bundesliga",8721,"WOL","VfL Wolfsburg",837.764259478864,867.984624429236,787.197454173493,755.833949964801,768.071479629841
"71","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",761.609083110376,798.301225517777,753.279740116206,713.215506935593,690.560444000444
"72","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",827.991807117614,875.546489476412,794.971713862704,766.491933539208,704.363576653232
"73","Germany 1. Bundesliga",10269,"STU","VfB Stuttgart",806.880571895425,843.91816643324,748.93783146592,684.701972455649,706.442478991597
"74","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",810.544188759303,858.43939090972,774.54093751583,780.541139003189,662.007470974382
"75","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",871.757771375337,912.386579039308,793.917589009693,762.606050291485,763.272004221088
"76","Germany 1. Bundesliga",8165,"NUR","1. FC Nürnberg",790.848724101676,835.771720675474,749.205060512086,676.033527684718,723.265214692537
"77","Germany 1. Bundesliga",8226,"HOF","TSG 1899 Hoffenheim",799.102883581372,856.0923096107,741.838709553818,738.733377879445,652.749884673586
"78","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",794.460181122641,828.966666948643,762.404156985488,676.479276919317,732.573277502068
"79","Germany 1. Bundesliga",9823,"BMU","FC Bayern Munich",897.674883248935,938.615563660478,806.60042078611,758.678302990113,723.165597520296
"80","Germany 1. Bundesliga",8194,"FDU","Fortuna Düsseldorf",756.296217334354,798.790718168539,776.10312111299,704.705090891909,715.526191681296
"81","Germany 1. Bundesliga",9904,"HAN","Hannover 96",811.672172612173,844.852644512644,746.902262922263,753.054775874776,698.131961521962
"82","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",828.822198686981,871.643126311121,786.413308899038,729.171989606933,744.326069195207
"83","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",861.112253168054,896.789520215779,807.086216460673,729.984061495967,785.28544959924
"84","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",798.585496779207,828.793992624759,779.403960124404,711.777623286212,739.387488157004
"85","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",812.04590581228,861.076269861508,769.635119047619,723.131963974548,703.554673867507
"86","Germany 1. Bundesliga",10269,"STU","VfB Stuttgart",805.070208188814,835.33598391551,752.320095997647,681.340177192089,695.792021987478
"87","Germany 1. Bundesliga",9904,"HAN","Hannover 96",800.638709068255,846.587427446992,731.019548185229,705.894681865807,728.611844466872
"88","Germany 1. Bundesliga",8178,"LEV","Bayer 04 Leverkusen",835.282277425727,883.140926903844,801.334876179207,745.868271105113,753.111150896099
"89","Germany 1. Bundesliga",9823,"BMU","FC Bayern Munich",906.808510699915,944.89026954283,818.169832550816,770.193401029329,713.254224971276
"90","Germany 1. Bundesliga",8358,"FRE","SC Freiburg",785.168224974224,827.889049178884,758.726888901841,731.326308083551,700.840944207556
"91","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",816.153696715116,856.745195992319,780.025302824435,781.099973882078,680.340611619969
"92","Germany 1. Bundesliga",8226,"HOF","TSG 1899 Hoffenheim",814.429701743221,858.42346349929,785.596315526612,721.574022430629,766.89257960401
"93","Germany 1. Bundesliga",8357,"GRF","SpVgg Greuther Fürth",738.141506820119,793.054162607072,732.185217492794,695.688894470832,681.065604067714
"94","Germany 1. Bundesliga",9810,"EFR","Eintracht Frankfurt",797.507711432986,842.351734366574,770.441593546296,729.927400580604,697.796851297698
"95","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",845.89421018352,889.097518732251,806.902162427115,727.481177288845,744.964504682131
"96","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",782.840569153069,825.420473970474,738.780448717949,735.428329448329,674.38965034965
"97","Germany 1. Bundesliga",8165,"NUR","1. FC Nürnberg",794.586246230472,826.619236555909,759.150993061505,649.006439356749,793.610839662752
"98","Germany 1. Bundesliga",8721,"WOL","VfL Wolfsburg",813.328052280134,858.034458896039,787.376866352361,735.148121038736,753.475459062387
