"","league_name","match_api_id","home_team_api_id","away_team_api_id","match_score","win_loss","home_team_overall_ratings","home_team_overall_potentials","home_team_overall_staminas","home_team_overall_agilities","home_team_overall_aggressions","away_team_overall_ratings","away_team_overall_potentials","away_team_overall_staminas","away_team_overall_agilities","away_team_overall_aggressions","total_rating_spread","total_potential_spread","total_stamina_spread","total_agility_spread","total_aggression_spread"
"12","England Premier League",1229197,8650,10261,0,"draw",844.539793443981,894.065341629456,781.865110702739,757.498407819092,697.680566621855,833.925470887936,872.874780755229,797.121729525068,769.612294944433,736.627697300599,10.6143225560452,21.1905608742271,-15.2566188223296,-12.1138871253405,-38.9471306787443
"13","England Premier League",1229198,10260,9825,1,"win",880.746975376455,912.210594639667,755.690842048195,769.301365669075,717.305335365612,866.672863428281,900.225576616366,777.599646079754,742.069818150546,722.473712055059,14.0741119481736,11.9850180233009,-21.9088040315598,27.2315475185289,-5.16837668944675
"14","England Premier League",1229199,9850,10194,1,"win",793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,805.47976430997,837.849103209237,812.875045407565,705.726730757192,797.810370713207,-12.4489001453991,-16.2766668237831,-19.7147023023941,-4.97498615122356,-57.0897311803262
"15","England Premier League",1229200,10172,9798,0,"draw",820.6043779409,857.993175230567,784.560979986197,780.07628458498,739.807237593325,742.933783630163,783.490708917519,758.251170582291,688.2811996337,725.498688581533,77.6705943107368,74.5024663130473,26.309809403906,91.7950849512804,14.3085490117911
"16","England Premier League",1229201,8472,10252,-1,"loss",820.538560091489,853.511000370932,815.906468647464,719.084486248559,791.159079753622,791.100148643627,845.568711843712,779.219725805595,718.446550671551,693.043126559431,29.4384114478623,7.94228852721972,36.6867428418685,0.637935577008761,98.1159531941912
"17","England Premier League",1229202,10003,8455,0,"draw",799.376799167017,837.514309683875,736.121214252736,741.035469482209,645.64821905148,869.226150031837,914.202272271203,810.985184172983,774.098756515546,688.601250496815,-69.8493508648203,-76.6879625873281,-74.8639699202471,-33.0632870333374,-42.9530314453352
"18","England Premier League",1229204,8586,8528,-1,"loss",866.022557669332,902.03811965812,824.378146966534,762.73149539827,773.183237885173,803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,62.7882242145243,71.8098138608483,42.2888365709737,34.1335732055198,69.9728378631355
"19","England Premier League",1229205,8659,8466,2,"win",804.249711761873,837.320997609462,779.467673555991,686.554014354042,728.434568955564,792.002332888269,844.440401436119,818.355977371913,781.197092780385,673.143837722014,12.2473788736044,-7.11940382665716,-38.8883038159223,-94.6430784263422,55.2907312335498
"20","England Premier League",1229206,8654,8456,0,"draw",806.180321793468,837.586113042918,794.430242575958,652.529385229187,760.768602699701,899.446949095543,929.452254566911,816.412904543561,716.706104292323,738.081884105376,-93.2666273020744,-91.8661415239927,-21.9826619676032,-64.1767190631352,22.6867185943241
"21","England Premier League",1229208,9825,9879,0,"draw",864.871405645586,895.211941789395,759.059786018698,729.782122225781,725.465385380606,836.20465216943,854.392336165453,784.903759765614,702.920970169077,741.09333754694,28.6667534761558,40.8196056239417,-25.8439737469159,26.8611520567033,-15.6279521663339
"22","England Premier League",1229209,10252,10260,-1,"loss",786.013254056732,839.877828652829,778.929127514997,714.748544973545,684.521759038063,890.693630290852,914.953739681199,742.911822244981,770.910177955306,738.273997043951,-104.68037623412,-75.0759110283703,36.017305270016,-56.1616329817613,-53.7522380058879
"23","England Premier League",1229210,8455,8650,0,"draw",882.580703498523,920.785959757464,814.796559344652,778.881515885805,705.593443284964,851.455167924573,892.535190621044,804.927034286401,735.075482917906,744.132781074069,31.1255355739495,28.2507691364199,9.86952505825104,43.8060329678992,-38.5393377891057
"24","England Premier League",1229211,8668,8472,1,"win",851.706616300366,876.996515567766,807.315100732601,754.358278388278,766.999546703297,818.30211929091,857.32538185152,807.622755119613,741.347447425314,753.221399502838,33.4044970094559,19.6711337162455,-0.30765438701178,13.0108309629645,13.7781472004583
"25","England Premier League",1229212,8456,8586,1,"win",902.842680271075,931.708787041546,824.189102278617,756.851515162452,762.406185779424,866.11933186288,902.710930718027,820.852801344414,744.861679730067,783.390611157063,36.723348408195,28.9978563235182,3.33630093420311,11.989835432385,-20.9844253776387
"26","England Premier League",1229213,10261,8654,-1,"loss",823.31337244407,864.094261279944,781.45494966615,752.858099058505,701.609821273175,803.721230884378,837.849749406555,799.066606212321,660.647567047369,746.104966336064,19.5921415596929,26.2445118733889,-17.6116565461713,92.2105320111352,-44.4951450628888
"27","England Premier League",1229214,9798,9850,0,"draw",745.283783630163,784.930708917519,760.411170582291,691.9211996337,733.738688581533,793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,-47.7470805344083,-36.6417274679344,-32.7491725228793,-8.83054497226908,-6.98195095134759
"28","England Premier League",1229215,8466,10003,0,"draw",793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,799.376799167017,837.514309683875,736.121214252736,741.035469482209,645.64821905148,-5.67145948162363,18.2389925769102,67.0435033985054,31.2517988089396,31.2025744598432
"29","England Premier League",1229216,10194,10172,1,"win",810.701794961311,843.201306274371,807.052855113823,709.896270987077,795.169917328788,824.802473178995,864.425556182948,769.576218081435,784.803903632599,738.986285212372,-14.1006782176838,-21.2242499085768,37.4766370323873,-74.907632645522,56.1836321164161
"30","England Premier League",1229217,8528,8659,-1,"loss",803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,802.868277873181,842.243229087662,788.704651577968,672.459082887659,748.306538706243,0.36605558162637,-12.0149232903902,-6.61534118240809,56.1388393050904,-45.0961386842054
"31","England Premier League",1229218,9825,8586,3,"win",878.524289987729,910.675923034066,767.471586246035,751.637194689549,744.47536690945,866.998527948598,905.313272297543,803.564808298812,761.85490317329,745.479947746399,11.5257620391305,5.36265073652351,-36.0932220527775,-10.2177084837414,-1.00458083694969
"32","England Premier League",1229219,9879,8472,-2,"loss",835.781002094016,856.187315695727,763.610639748376,720.133786372482,678.161786157154,819.420743999535,855.562724508863,800.246985888843,722.449428777295,775.383217684657,16.3602580944804,0.624591186863768,-36.6363461404673,-2.31564240481305,-97.2214315275031
"33","England Premier League",1229220,8650,8528,3,"win",855.251768968457,901.112850370715,782.589149164277,763.145698028882,698.786466971505,803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,52.0174355136493,70.8845445734435,0.4998387687167,34.5477758361325,-4.42393305053258
"34","England Premier League",1229221,8456,10252,5,"win",909.124068423153,936.621695971696,819.285145603109,778.397123768405,719.009634055286,786.013254056732,839.877828652829,778.929127514997,714.748544973545,684.521759038063,123.110814366421,96.7438673188674,40.3560180881119,63.6485787948602,34.4878750172227
"35","England Premier League",1229222,10261,10003,-1,"loss",805.94218202014,855.781359573229,784.400928289741,746.915173188933,736.990076643541,795.047752609709,836.807504814027,738.970535623797,753.683011553664,667.24252812405,10.8944294104309,18.9738547592019,45.4303926659449,-6.76783836473078,69.7475485194907
"36","England Premier League",1229223,9850,10260,1,"win",793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,871.953573310795,900.685306632766,742.634785207944,787.671687926816,670.027957157911,-78.922709146224,-79.1128702473123,50.5255578972266,-86.9199433208474,70.6926823749696
"37","England Premier League",1229224,10172,8466,-2,"loss",824.802473178995,864.425556182948,769.576218081436,784.803903632599,738.986285212372,793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,31.097133493602,8.67225392216255,-33.5884995698059,12.516635341451,62.1354917010491
"38","England Premier League",1229226,9798,8668,1,"win",744.250533009816,790.250015101531,753.960934607008,678.795067195613,688.06543893428,848.678837144039,876.049809612431,817.979201228879,747.394953326244,782.354943725629,-104.428304134223,-85.7997945108992,-64.0182666218708,-68.599886130631,-94.2895047913493
"39","England Premier League",1229227,8659,8455,1,"win",800.71274355243,835.717146510818,788.99231123715,706.249374335342,739.363858343128,858.115001585003,911.314018089602,796.327806634154,774.685868224029,707.446523794306,-57.4022580325735,-75.5968715787841,-7.33549539700402,-68.4364938886868,31.9173345488223
